*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.1 Final Today
*Date=22:41:21
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;70.6601;-64.3677;0;Bottom;TXT1
108;470;THT;41.6862;-41.987;90;Bottom;R8
109;;THT;15.0162;-16.587;0;Bottom;J17
110;1k;THT;22.6362;-92.787;180;Bottom;R16
111;;;63.2761;-33.732;0;Bottom;Via66
112;100k;THT;86.1362;-36.907;180;Bottom;R38
113;;;34.7011;-93.4221;0;Bottom;Via63
114;;;31.5261;-9.60206;0;Bottom;Via14
115;;;90.5811;-35.002;0;Bottom;Via70
116;1µF;0805 [SMD, multilayer];67.7212;-40.472;-90;Top;C12
117;;;17.6369;-22.2012;0;Bottom;TXT12
118;;;65.8161;-17.2221;0;Bottom;Via58
119;0.1µF;200 mil [THT, multilayer];31.5262;-9.60196;180;Bottom;C1
120;;;1.89408;-36.5859;0;Bottom;TXT11
121;;;93.7561;-33.097;0;Bottom;Via51
122;;THT;7.3962;-16.587;0;Bottom;J46
123;;;1.95052;-33.933;0;Bottom;TXT10
124;;;53.5243;-2.0628;0;Bottom;TXT5
125;;;1.9635;-6.21536;0;Bottom;TXT7
126;160;THT;62.6412;-69.927;90;Bottom;R25
127;;;96.2961;-27.382;0;Bottom;Via25
128;0.22µF;0805 [SMD, multilayer];72.8012;-23.962;-90;Top;C10
129;;THT;15.0162;-31.827;0;Bottom;J11
130;;;79.1511;-21.6671;0;Bottom;Via43
131;0.22µF;0805 [SMD, multilayer];67.0862;-27.137;-90;Top;C6
132;100k;THT;22.6362;-87.707;180;Bottom;R20
133;;;1.82239;-24.0659;0;Bottom;TXT11
134;;THT;15.0162;-11.507;0;Bottom;J19
135;0.01µF;0805 [SMD, multilayer];64.5462;-22.057;-90;Top;C25
136;;TO220 [THT];53.7512;-91.136;0;Bottom;Q1
137;;;47.4134;-7.5417;0;Bottom;TXT13
138;;THT;4.8562;-21.667;0;Bottom;J68
139;;;92.8633;-84.1589;0;Bottom;TXT8
140;;;1.95051;-11.3798;0;Bottom;TXT11
141;;;48.0361;-31.192;0;Bottom;Via21
142;2.4k;THT;37.2412;-90.247;0;Bottom;R9
143;2.49k;0805 [SMD];32.4061;-15.9519;0;Top;R1
144;120;0805 [SMD];46.7662;-11.7519;90;Top;R62
145;1k;THT;44.8612;-71.832;90;Bottom;R51
146;;;50.6184;-55.322;0;Bottom;Arduino Mega 2560
147;;;77.2461;-69.292;0;Bottom;Via62
148;;THT;4.8562;-34.367;0;Bottom;J65
149;10µF;200 mil [THT, tantalum];81.6912;-88.342;-90;Bottom;C16
150;;;62.0061;-83.8971;0;Bottom;Via72
151;;THT;4.8562;-36.907;0;Bottom;J59
152;;THT;9.9362;-31.827;0;Bottom;J40
153;0.22µF;0805 [SMD, multilayer];96.2962;-23.327;-90;Top;C24
154;;THT;7.3962;-31.827;0;Bottom;J52
155;;300 mil [THT];59.4916;-94.692;180;Bottom;D9
156;470;THT;37.2412;-22.937;-90;Bottom;R2
157;;SO16;82.3262;-69.927;90;Bottom;DRV8825
158;0.01µF;200 mil [THT, multilayer];9.3012;-45.797;0;Bottom;C19
159;47µF;200 mil [THT, tantalum];68.9912;-87.072;90;Bottom;C14
160;;THT;7.3962;-21.667;0;Bottom;J56
161;;THT;4.8562;-24.207;0;Bottom;J60
162;;TO220 [THT];6.14962;-88.1114;180;Bottom;Q2
163;100k;THT;42.3212;-69.927;90;Bottom;R49
164;;;70.2611;-46.432;0;Bottom;Via3
165;;THT;12.4762;-29.287;0;Bottom;J31
166;;THT;9.9362;-34.367;0;Bottom;J41
167;;THT;15.0162;-36.907;0;Bottom;J9
168;;;1.06987;-65.7167;-90;Bottom;MPX4250AP1
169;;TO220 [THT];49.9412;-61.418;180;Bottom;Q6
170;;THT;4.8562;-11.507;0;Bottom;J61
171;;;95.4262;-31.192;0;Bottom;Hole6
172;;THT;7.3962;-26.747;0;Bottom;J51
173;;;91.2161;-73.102;0;Bottom;Via44
174;0.22µF;0805 [SMD, multilayer];39.7812;-25.232;-90;Top;C2
175;;;27.0811;-8.96706;0;Bottom;Via15
176;;THT;15.0162;-14.047;0;Bottom;J18
177;;;70.8961;-47.702;0;Bottom;Via2
178;;;59.4661;-87.7071;0;Bottom;Via69
179;2.4k;THT;22.6362;-90.247;180;Bottom;R15
180;;DIP (Dual Inline) [THT];82.3262;-22.302;-90;Bottom;VR
181;;;74.7061;-7.06206;0;Bottom;Via6
182;100k;THT;85.5012;-51.512;180;Bottom;R37
183;;3 mm [THT];63.9672;-58.4968;90;Bottom;LED5
184;;;75.3411;-59.767;0;Bottom;Via29
185;1k;THT;86.1362;-39.447;180;Bottom;R29
186;1k;0805 [SMD];89.0662;-7.06192;0;Top;R60
187;;;62.0061;-55.957;0;Bottom;Via61
188;;THT;4.8562;-29.287;0;Bottom;J67
189;;;15.0161;-78.8171;0;Bottom;Via46
190;;;1.87995;-8.91036;0;Bottom;TXT11
191;2.4k;THT;58.8312;-40.082;90;Bottom;R34
192;;;98.2011;-52.782;0;Bottom;Via22
193;;TO220 [THT];39.4002;-61.037;90;Bottom;Q5
194;0.22µF;0805 [SMD, multilayer];39.1462;-37.787;90;Top;C8
195;;3 mm [THT];63.9672;-38.1768;90;Bottom;LED8
196;;;1.89295;-13.7648;0;Bottom;TXT11
197;;THT;77.2462;-10.237;-90;Bottom;JP4
198;470;THT;59.4662;-22.302;-90;Bottom;R6
199;;THT;9.9362;-36.907;0;Bottom;J35
200;;;88.6761;-73.102;0;Bottom;Via39
201;;TO220 [THT];39.4002;-71.832;90;Bottom;Q7
202;;;16.2861;-55.957;0;Bottom;Via37
203;;;89.9463;-79.4519;0;Bottom;Hole7
204;;THT;12.4762;-14.047;0;Bottom;J21
205;1k;THT;47.4012;-71.832;90;Bottom;R57
206;100k;THT;37.2412;-87.707;0;Bottom;R14
207;;;49.9411;-15.3171;0;Bottom;Via65
208;1k;THT;44.2262;-41.987;90;Bottom;R21
209;;;77.8811;-15.3171;0;Bottom;Via42
210;;THT;12.4762;-36.907;0;Bottom;J23
211;;;86.1361;-60.402;0;Bottom;Via30
212;;THT;15.0162;-34.367;0;Bottom;J10
213;;3 mm [THT];63.9672;-43.2568;90;Bottom;LED7
214;100k;THT;60.1012;-71.832;90;Bottom;R55
215;0.1µF;0805 [SMD, multilayer];36.6062;-37.932;-90;Top;C7
216;;;84.2311;-40.717;0;Bottom;Via8
217;;;51.2111;-75.007;0;Bottom;Via33
218;;;7.26017;-1.18258;0;Bottom;TXT6
219;;;42.3211;-25.477;0;Bottom;Via56
220;;;72.8011;-38.177;0;Bottom;Via9
221;;;79.1511;-23.572;0;Bottom;Via55
222;;;50.5761;-41.987;0;Bottom;Via10
223;;ayz0202;52.5212;-10.5219;180;Top;S1
224;;;92.42;-97.0604;0;Bottom;TXT9
225;100k;THT;37.2412;-95.962;0;Bottom;R11
226;;sma-diode;62.0062;-84.142;-90;Top;D18
227;0.1µF;0805 [SMD, multilayer];66.8412;-14.6819;0;Top;C9
228;;THT;9.9362;-14.047;0;Bottom;J33
229;2.4k;THT;37.2412;-82.627;0;Bottom;R12
230;;THT;12.4762;-21.667;0;Bottom;J32
231;;300 mil [THT];30.2562;-23.5466;-90;Bottom;D17
232;160;THT;55.6562;-41.352;90;Bottom;R32
233;;;58.3735;-7.49119;0;Bottom;TXT13
234;;THT;7.3962;-14.047;0;Bottom;J45
235;;;90.5811;-10.8721;0;Bottom;Via17
236;;;18.1911;-64.847;0;Bottom;Via35
237;;;48.6711;-36.907;0;Bottom;Via49
238;;;63.2761;-26.747;0;Bottom;Via57
239;;computer-peripheral-power;31.5262;-64.212;90;Bottom;J5
240;;DIP (Dual Inline) [THT];51.8462;-22.302;-90;Bottom;IC4
241;;;57.5611;-21.0321;0;Bottom;Via59
242;1k;THT;37.2178;-85.1435;0;Bottom;R13
243;;;29.6211;-17.8571;0;Bottom;Via53
244;;;17.7577;-19.7821;0;Bottom;TXT12
245;0.1µF;200 mil [THT, multilayer];73.4362;-87.072;90;Bottom;C13
246;1k;THT;85.5012;-56.592;180;Bottom;R24
247;;;39.7811;-90.8821;0;Bottom;Via23
248;;THT;12.4762;-31.827;0;Bottom;J28
249;;;1.46528;-43.4958;0;Bottom;TXT11
250;;;44.8611;-64.212;0;Bottom;Via47
251;;;17.8209;-17.5303;0;Bottom;TXT12
252;;;5.4911;-97.8671;0;Bottom;Via64
253;;THT;9.9362;-26.747;0;Bottom;J39
254;1k;THT;86.1362;-41.987;180;Bottom;R30
255;3.9k;0805 [SMD];71.1411;-33.732;180;Top;R7
256;2.4k;THT;61.3712;-40.082;90;Bottom;R33
257;;300 mil [THT];65.1812;-87.6816;-90;Bottom;D16
258;;THT;7.3962;-29.287;0;Bottom;J55
